x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-122.5731667,49.26447222,HANEY UBC RF ADMIN,1103332,1103332.2016.1.1,1/1/16 0:00,BC,2016,1,1,-2.3,,-5.5,,1,,0,,0,,0,,0,,,,,,0,,20.3,,,,,
-122.5731667,49.26447222,HANEY UBC RF ADMIN,1103332,1103332.2016.1.2,1/2/16 0:00,BC,2016,1,2,-2.3,,-5,,0.5,,0,,0,,0,,0,,,,,,0,,20.3,,,,,
-122.5731667,49.26447222,HANEY UBC RF ADMIN,1103332,1103332.2016.1.3,1/3/16 0:00,BC,2016,1,3,-2.5,,-5,,0,,0,T,0,,0,T,0,,,,,,0,,20.5,,,,,
-122.5731667,49.26447222,HANEY UBC RF ADMIN,1103332,1103332.2016.1.4,1/4/16 0:00,BC,2016,1,4,-0.5,,-2,,1,,0,,0,,0,,0,,,,,,0,,18.5,,,,,
-122.5731667,49.26447222,HANEY UBC RF ADMIN,1103332,1103332.2016.1.5,1/5/16 0:00,BC,2016,1,5,1.8,,-1.5,,5,,12.2,,12.2,,0,,0,,,,,,0,,16.2,,,,,
-122.5731667,49.26447222,HANEY UBC RF ADMIN,1103332,1103332.2016.1.6,1/6/16 0:00,BC,2016,1,6,3.3,,0.5,,6,,0,,0,,0,,0,,,,,,0,,14.7,,,,,
-122.5731667,49.26447222,HANEY UBC RF ADMIN,1103332,1103332.2016.1.7,1/7/16 0:00,BC,2016,1,7,0.5,,-1,,2,,0,,0,,0,,0,,,,,,0,,17.5,,,,,
-122.5731667,49.26447222,HANEY UBC RF ADMIN,1103332,1103332.2016.1.8,1/8/16 0:00,BC,2016,1,8,3,,1,,5,,0,,0,,0,,0,,,,,,0,,15,,,,,
-122.5731667,49.26447222,HANEY UBC RF ADMIN,1103332,1103332.2016.1.9,1/9/16 0:00,BC,2016,1,9,2,,-1,,5,,0,,0,,0,,0,,,,,,0,,16,,,,,
-122.5731667,49.26447222,HANEY UBC RF ADMIN,1103332,1103332.2016.1.10,1/10/16 0:00,BC,2016,1,10,3,,-1,,7,,0,,0,,0,,0,,,,,,0,,15,,,,,
-122.5731667,49.26447222,HANEY UBC RF ADMIN,1103332,1103332.2016.1.11,1/11/16 0:00,BC,2016,1,11,1.8,,-2,,5.5,,25.2,,25.2,,0,,0,,,,,,0,,16.2,,,,,
-122.5731667,49.26447222,HANEY UBC RF ADMIN,1103332,1103332.2016.1.12,1/12/16 0:00,BC,2016,1,12,2.3,,-3,,7.5,,28.2,,28.2,,0,,0,,,,,,0,,15.7,,,,,
-122.5731667,49.26447222,HANEY UBC RF ADMIN,1103332,1103332.2016.1.13,1/13/16 0:00,BC,2016,1,13,6,,5.5,,6.5,,4.1,,4.1,,0,,0,,,,,,0,,12,,,,,
-122.5731667,49.26447222,HANEY UBC RF ADMIN,1103332,1103332.2016.1.14,1/14/16 0:00,BC,2016,1,14,5,,2,,8,,0,,0,,0,,0,,,,,,0,,13,,,,,
-122.5731667,49.26447222,HANEY UBC RF ADMIN,1103332,1103332.2016.1.15,1/15/16 0:00,BC,2016,1,15,2.3,,-0.5,,5,,14.2,,14.2,,0,,0,,,,,,0,,15.7,,,,,
-122.5731667,49.26447222,HANEY UBC RF ADMIN,1103332,1103332.2016.1.16,1/16/16 0:00,BC,2016,1,16,5.8,,4,,7.5,,14.2,,14.2,,0,,0,,,,,,0,,12.2,,,,,
-122.5731667,49.26447222,HANEY UBC RF ADMIN,1103332,1103332.2016.1.17,1/17/16 0:00,BC,2016,1,17,6.8,,5.5,,8,,19.2,,19.2,,0,,0,,,,,,0,,11.2,,,,,
-122.5731667,49.26447222,HANEY UBC RF ADMIN,1103332,1103332.2016.1.18,1/18/16 0:00,BC,2016,1,18,7,,6,,8,,3,,3,,0,,0,,,,,,0,,11,,,,,
-122.5731667,49.26447222,HANEY UBC RF ADMIN,1103332,1103332.2016.1.19,1/19/16 0:00,BC,2016,1,19,6.3,,4.5,,8,,2,,2,,0,,0,,,,,,0,,11.7,,,,,
-122.5731667,49.26447222,HANEY UBC RF ADMIN,1103332,1103332.2016.1.20,1/20/16 0:00,BC,2016,1,20,4.8,,2.5,,7,,18.2,,18.2,,0,,0,,,,,,0,,13.2,,,,,
-122.5731667,49.26447222,HANEY UBC RF ADMIN,1103332,1103332.2016.1.21,1/21/16 0:00,BC,2016,1,21,7.3,,4.5,,10,,26.6,,26.6,,0,,0,,,,,,0,,10.7,,,,,
-122.5731667,49.26447222,HANEY UBC RF ADMIN,1103332,1103332.2016.1.22,1/22/16 0:00,BC,2016,1,22,9.5,,9,,10,,6.4,,6.4,,0,,0,,,,,,0,,8.5,,,,,
-122.5731667,49.26447222,HANEY UBC RF ADMIN,1103332,1103332.2016.1.23,1/23/16 0:00,BC,2016,1,23,5.3,,3,,7.5,,2.2,,2.2,,0,,0,,,,,,0,,12.7,,,,,
-122.5731667,49.26447222,HANEY UBC RF ADMIN,1103332,1103332.2016.1.24,1/24/16 0:00,BC,2016,1,24,6.5,,5,,8,,0,,0,,0,,0,,,,,,0,,11.5,,,,,
-122.5731667,49.26447222,HANEY UBC RF ADMIN,1103332,1103332.2016.1.25,1/25/16 0:00,BC,2016,1,25,5,,2,,8,,7.4,,7.4,,0,,0,,,,,,0,,13,,,,,
-122.5731667,49.26447222,HANEY UBC RF ADMIN,1103332,1103332.2016.1.26,1/26/16 0:00,BC,2016,1,26,8,,6.5,,9.5,,25.4,,25.4,,0,,0,,,,,,0,,10,,,,,
